"RESP","FIX_W","Q1","DIST_W","Q2_LESS","Q2_5_10","Q2_10_15","Q2_15_20","Q2_20_30","Q2_30_50","Q2_MORE","CR","CR_R","Q3a_CR","PT","PT_R","Q3b_PT","PTBC","PTBC_R","Q3c_PTBC","BC","BC_R","Q3d_BC","Q4a","CR_SATF","CR_DIS","CR_SAT","Q4b","PT_SATF","PT_DIS","PT_SAT","Q4c","PTT_SATF","PTT_DIS","PTT_SAT","Q4d","PTB_SATF","PTB_DIS","PTB_SAT","Q4e","BC_SATF","BC_DIS","BC_SAT","Q5","Q5_PRTNR","Q5_KIDS","Q5_ALONE","Q6a","Q6_CR","Q6b","Q6_BC","Q6c","Q6_SHOW","Q6d","Q6_PT","TT_CR","TT_CR_10","TT_CR_20","TT_CR_30","TT_CR_40","TT_CR_50","TT_CR_60","TT_CR_70","TT_CR_NA","TT_CR_L","TT_CR_M","TT_CR_H","TT_CR_NA1","TT_PT","TT_PT_10","TT_PT_20","TT_PT_30","TT_PT_40","TT_PT_50","TT_PT_60","TT_PT_70","TT_PT_NA","TT_BC","TT_BC_10","TT_BC_20","TT_BC_30","TT_BC_40","TT_BC_50","TT_BC_60","TT_BC_70","TT_BC_NA","TT_BC_L","TT_BC_M","TT_BC_H","TT_BC_NA1","TC_CR","TC_CR_1","TC_CR_2","TC_CR_3","TC_CR_4","TC_CR_5","TC_CR_6","TC_CR_7","TC_CR_L","TC_CR_M","TC_CR_H","TC_PT","TC_PT_1","TC_PT_2","TC_PT_3","TC_PT_4","TC_PT_5","TC_PT_6","TC_PT_7","TC_PT_L","TC_PT_M","TC_PT_H","TC_BC","TC_BC_1","TC_BC_2","TC_BC_3","TC_BC_4","TC_BC_5","TC_BC_6","TC_BC_7","TC_BC_L","TC_BC_M","TC_BC_H","Q9a","Q9b","Q9c","Q9d","Q9e","Q9f","Q9_PT_NO","Q9_CR_NO","Q9_BC_NO","Q9_PT_OF","Q9_CR_OF","Q9_BC_OF","Q10a","Q10b","Q10c","Q10d","Q10e","Q10f","Q10g","Q10h","Q10i","Q10j","Q10k","Q10l","Q10m","Q10n","Q10o","Q11a","Q11b","Q11c","Q11d","Q11e","Q11f","Q11g","Q12a_CR","Q12a_PT","Q12a_BC","Q12b_CR","Q12b_PT","Q12b_BC","Q12c_CR","Q12c_PT","Q12c_BC","Q12_CR","Q12_PT","Q12_BC","Q13a","Q13b","Q13c","Q13d","Q13e","Q13f","Q13g","Q13h","Q13i","Q13j","Q13k","Q14a","Q14b","Q14c","Q14d","Q14e","Q14f","Q14g","Q14h","Q14i","Q14j","Q14k","Q14l","Q14m","Q14n","Q14aR","Q14bR","Q14cR","Q14dR","Q14eR","Q14fR","Q14gR","Q14hR","Q14iR","Q14jR","Q14kR","Q14lR","Q14mR","Q14nR","GENDER","MALE","AGE","AGE_GRP","AGE_18","AGE18_30","AGE30_45","AGE45_65","AGE_65","Q16","CAR_ACC","EDU","EDU_NO","EDU_HS","EDU_VOC","EDU_S","EDU_M","EDU_L","JOB","JOB_FULL","JOB_PART","JOB_STUD","HOME","H_NA","H_CITY","H_CPHMA","WORK","W_NA","W_CITY","W_CPHMA","Q19a","Q19b","SINGLE","COUPLE","SINGLE_C","COUPLE_C","INC","INC_NA","INC_L","INC_M","INC_H"
1195,1,1,6,0,0,0,0,0,1,0,1,6,1,7,1,0,7,1,0,7,1,0,3,4,0,1,5,2,1,0,5,2,1,0,5,2,1,0,5,2,1,0,1,0,0,1,1,1,1,1,1,1,2,0,4,0,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,7,7,7,7,7,7,0,6,0,0,1,0,2,2,4,4,3,5,4,2,2,3,2,3,3,3,2,3,3,3,2,2,2,2,1,0,0,1,0,0,1,0,0,3,0,0,3,2,2,2,4,3,3,3,3,4,4,4,4,4,4,4,3,3,4,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3,4,4,4,4,4,1,1,39,4,0,0,0,1,0,2,1,4,0,0,0,1,0,0,1,1,0,0,68,0,0,0,12,0,0,1,4,3,0,0,0,0,12,0,0,0,1
1196,1,1,4,0,0,0,1,0,0,0,4,4,0,7,1,0,7,1,0,4,4,0,3,4,0,1,5,2,1,0,5,2,1,0,5,2,1,0,2,5,0,1,1,0,0,1,1,1,1,1,1,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,7,7,6,6,7,10,2,3,0,0,1,0,5,4,3,4,4,4,4,2,2,1,2,5,5,4,1,1,1,1,3,3,4,3,1,0,0,1,0,0,0,0,3,2,0,1,4,5,5,5,5,5,3,2,1,1,4,2,4,4,4,4,2,1,1,1,3,1,1,1,2,4,2,2,2,2,4,5,5,5,3,5,5,5,4,2,0,46,4,0,0,0,1,0,2,1,5,0,0,0,0,1,0,1,1,0,0,73,0,0,0,50,0,0,0,2,1,1,0,0,0,1,1,0,0,0
1198,1,1,7,0,0,0,0,0,0,1,1,6,1,7,1,0,7,1,0,7,1,0,3,4,0,1,4,3,0,0,4,3,0,0,5,2,1,0,5,2,1,0,1,0,0,1,1,1,1,1,2,0,2,0,6,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,7,7,7,7,7,7,0,6,0,0,1,0,4,3,4,5,5,5,4,4,3,3,3,3,4,4,3,2,3,3,3,3,3,3,1,0,0,1,0,0,1,0,0,3,0,0,3,3,4,5,4,4,3,2,2,2,3,5,4,5,3,3,2,2,5,3,3,2,3,2,2,1,2,1,3,3,4,4,1,3,3,4,3,4,4,1,1,29,3,0,0,1,0,0,2,1,6,0,0,0,0,0,1,1,1,0,0,96,0,0,0,4,0,1,0,5,4,0,0,0,0,1,1,0,0,0
1199,1,1,2,0,1,0,0,0,0,0,2,5,1,7,1,0,7,1,0,8,2,0,2,5,0,1,4,3,0,0,4,3,0,0,5,2,1,0,2,5,0,1,1,0,0,1,1,1,1,1,1,1,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,7,7,7,6,7,7,1,5,0,0,1,0,4,4,4,2,1,5,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,0,0,1,0,0,1,0,0,3,0,0,1,4,4,4,4,4,3,1,1,1,4,3,4,5,4,2,2,2,1,1,1,1,1,1,1,3,2,1,2,4,4,4,5,5,5,5,5,5,5,2,0,24,3,0,0,1,0,0,2,1,5,0,0,0,0,1,0,2,0,1,0,38,0,0,1,75,0,0,0,3,10,0,0,0,1,1,1,0,0,0
1201,1,1,1,1,0,0,0,0,0,0,7,1,0,7,1,0,7,1,0,8,2,0,4,3,0,0,4,3,0,0,4,3,0,0,4,3,0,0,2,5,0,1,1,0,0,1,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,8,8,8,8,7,10,0,1,4,0,0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,0,2,0,0,2,0,1,0,0,1,2,0,3,4,4,3,4,5,4,4,3,3,3,1,5,5,5,5,1,1,1,1,3,5,3,1,4,5,1,1,1,1,5,5,5,5,3,1,3,5,2,2,0,40,4,0,0,0,1,0,2,1,5,0,0,0,0,1,0,4,0,0,0,6,0,1,0,6,0,1,0,4,1,0,0,0,0,10,0,0,0,1
1202,1,1,7,0,0,0,0,0,0,1,1,6,1,7,1,0,7,1,0,7,1,0,2,5,0,1,4,3,0,0,4,3,0,0,5,2,1,0,6,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,7,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,7,7,7,7,7,10,0,5,0,0,1,0,1,1,5,5,2,5,5,2,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,3,0,0,1,1,1,1,1,1,3,3,3,3,5,1,1,2,2,4,3,3,5,3,1,1,1,1,1,5,5,4,4,2,3,3,1,3,5,5,5,5,5,1,1,48,4,0,0,0,1,0,2,1,5,0,0,0,0,1,0,1,1,0,0,96,0,0,0,18,0,0,1,3,1,0,1,0,0,12,0,0,0,1
1203,1,1,3,0,0,1,0,0,0,0,1,6,1,7,1,0,7,1,0,7,1,0,2,5,0,1,6,1,1,0,6,1,1,0,6,1,1,0,4,3,0,0,1,0,0,1,1,1,1,1,1,1,2,0,3,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,7,8,6,7,7,10,1,3,1,0,1,0,3,5,5,4,3,5,5,3,5,5,3,5,5,5,5,2,3,3,3,5,3,3,1,0,0,1,0,0,1,0,0,3,0,0,4,4,4,3,4,5,3,1,1,4,4,3,5,4,4,4,3,3,4,3,4,2,4,4,3,3,1,2,2,2,3,3,2,3,2,4,2,2,3,2,0,42,4,0,0,0,1,0,2,1,5,0,0,0,0,1,0,2,0,1,0,14,0,0,1,6,0,1,0,3,1,0,1,0,0,8,0,0,1,0
1204,1,1,3,0,0,1,0,0,0,0,7,1,0,7,1,0,7,1,0,2,5,1,3,4,0,1,3,4,0,1,3,4,0,1,6,1,1,0,2,5,0,1,1,0,0,1,1,1,1,1,1,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,7,7,8,6,7,8,1,3,2,0,1,0,5,5,5,4,3,4,5,2,1,2,5,2,2,4,1,1,1,5,1,1,2,2,1,0,3,1,0,0,0,0,3,2,0,2,2,5,5,5,5,5,1,1,1,1,1,2,2,5,4,2,1,1,1,1,3,2,3,1,1,4,4,1,2,4,5,5,5,5,3,4,3,5,5,2,0,29,3,0,0,1,0,0,2,1,6,0,0,0,0,0,1,1,1,0,0,13,0,0,1,5,0,1,0,3,4,0,0,0,1,12,0,0,0,1
1205,1,1,3,0,0,1,0,0,0,0,7,1,0,2,5,1,7,1,0,7,1,0,2,5,0,1,3,4,0,1,2,5,0,1,4,3,0,0,3,4,0,1,1,0,0,1,2,0,1,1,1,1,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,6,7,6,6,7,7,3,3,0,1,0,0,3,3,5,5,4,4,4,3,3,1,4,4,4,5,4,3,3,3,3,3,2,2,1,2,0,1,2,3,1,2,0,3,3,1,3,3,2,3,3,4,2,1,1,1,2,4,4,4,3,3,2,1,1,1,3,4,1,1,3,2,2,2,3,3,4,5,5,5,3,2,5,5,3,1,1,37,4,0,0,0,1,0,2,1,4,0,0,0,1,0,0,1,1,0,0,26,0,0,1,6,0,1,0,3,3,0,0,0,1,1,1,0,0,0
1206,1,1,7,0,0,0,0,0,0,1,1,6,1,1,6,1,7,1,0,7,1,0,3,4,0,1,3,4,0,1,3,4,0,1,5,2,1,0,6,1,1,0,1,0,0,1,2,0,1,1,1,1,1,1,8,0,0,0,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,7,7,7,7,7,10,0,5,0,0,1,0,3,3,3,4,3,5,4,4,4,2,4,2,3,5,5,1,1,1,1,2,2,2,1,0,0,0,2,0,1,0,0,2,1,0,4,3,3,3,3,3,2,2,2,2,2,4,2,2,4,4,3,3,5,2,2,5,2,2,3,2,4,4,2,2,3,3,1,4,4,1,4,4,3,2,0,45,4,0,0,0,1,0,2,1,3,0,0,1,0,0,0,1,1,0,0,96,0,0,0,2,0,1,0,3,1,0,1,0,0,8,0,0,1,0
1207,1,1,2,0,1,0,0,0,0,0,8,2,0,8,2,0,7,1,0,1,6,1,5,2,1,0,4,3,0,0,4,3,0,0,4,3,0,0,2,5,0,1,2,1,0,0,1,1,1,1,1,1,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,8,8,8,8,7,8,0,1,5,0,0,1,5,5,5,4,3,5,5,2,5,5,5,5,5,5,5,2,3,3,3,3,4,3,0,0,3,0,0,3,1,0,0,1,0,2,5,5,5,5,5,5,2,2,2,2,4,2,2,4,2,2,1,1,1,2,4,5,4,3,5,4,4,2,4,4,5,5,5,4,2,1,2,3,1,2,0,31,3,0,0,1,0,0,2,1,6,0,0,0,0,0,1,1,1,0,0,6,0,1,0,5,0,1,0,3,4,0,0,0,1,11,0,0,0,1
1208,1,1,2,0,1,0,0,0,0,0,1,6,1,7,1,0,7,1,0,7,1,0,2,5,0,1,5,2,1,0,5,2,1,0,5,2,1,0,4,3,0,0,1,0,0,1,1,1,1,1,1,1,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,8,7,6,10,7,10,1,2,1,0,1,0,1,1,4,4,1,3,4,1,1,1,1,1,4,5,4,1,1,1,1,1,1,1,1,0,0,1,0,0,0,2,3,2,1,1,3,3,2,2,3,3,3,3,2,3,3,4,4,3,3,3,4,3,3,2,2,1,2,2,2,2,2,3,3,3,2,3,3,4,4,5,4,4,4,2,0,35,4,0,0,0,1,0,2,1,5,0,0,0,0,1,0,1,1,0,0,73,0,0,0,73,0,0,0,2,1,1,0,0,0,1,1,0,0,0
1209,1,1,6,0,0,0,0,0,1,0,7,1,0,2,5,1,7,1,0,7,1,0,4,3,0,0,5,2,1,0,5,2,1,0,4,3,0,0,4,3,0,0,4,0,0,0,2,0,1,1,2,0,2,0,9,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,6,6,6,6,6,10,5,0,0,1,0,0,5,5,4,4,4,2,2,3,4,2,3,3,3,4,4,3,3,3,3,3,3,3,0,2,0,0,2,0,0,2,0,0,3,0,4,3,3,3,4,4,3,3,3,3,3,2,5,5,5,5,3,3,3,3,5,5,5,5,5,4,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,35,4,0,0,0,1,0,1,0,3,0,0,1,0,0,0,1,1,0,0,50,0,0,0,2,0,1,0,2,1,1,0,0,0,8,0,0,1,0
1210,1,1,1,1,0,0,0,0,0,0,7,1,0,7,1,0,7,1,0,1,6,1,5,2,1,0,5,2,1,0,5,2,1,0,5,2,1,0,2,5,0,1,1,0,0,1,2,0,1,1,1,1,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,8,8,8,8,7,7,0,2,4,0,0,1,4,4,4,4,3,5,5,3,4,3,3,3,3,5,4,1,1,1,1,1,1,1,1,0,3,1,2,3,1,0,3,3,1,3,3,4,4,3,4,4,4,2,2,2,4,1,5,5,3,4,2,2,2,2,3,4,4,1,4,5,1,1,3,2,4,4,4,4,3,2,2,5,2,1,1,37,4,0,0,0,1,0,1,0,6,0,0,0,0,0,1,1,1,0,0,6,0,1,0,2,0,1,0,3,3,0,0,0,1,12,0,0,0,1
1211,1,1,6,0,0,0,0,0,1,0,1,6,1,7,1,0,7,1,0,7,1,0,2,5,0,1,6,1,1,0,5,2,1,0,6,1,1,0,2,5,0,1,3,0,1,0,1,1,1,1,2,0,2,0,4,0,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,7,7,6,6,7,7,2,4,0,0,1,0,2,2,5,5,4,5,5,3,3,5,3,3,5,5,3,2,2,5,2,2,2,2,1,0,0,1,0,0,1,0,0,3,0,0,2,4,4,4,5,3,5,4,4,5,5,4,5,5,3,3,2,2,5,2,2,2,2,2,2,2,1,1,3,3,4,4,1,4,4,4,4,4,4,2,0,22,3,0,0,1,0,0,2,1,4,0,0,0,1,0,0,2,0,1,0,35,0,0,1,73,0,0,0,2,3,0,0,1,0,9,0,0,1,0
1212,1,1,6,0,0,0,0,0,1,0,1,6,1,7,1,0,7,1,0,7,1,0,2,5,0,1,5,2,1,0,6,1,1,0,5,2,1,0,6,1,1,0,1,0,0,1,1,1,1,1,1,1,2,0,5,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,7,7,8,6,7,10,1,3,1,0,1,0,3,3,5,5,5,5,5,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,1,0,0,1,0,0,1,0,0,3,0,0,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,5,5,5,5,2,0,38,4,0,0,0,1,0,2,1,2,0,1,0,0,0,0,1,1,0,0,10,0,1,0,81,0,0,0,4,1,0,0,0,0,12,0,0,0,1
1213,1,1,3,0,0,1,0,0,0,0,7,1,0,8,2,0,2,5,1,5,3,0,4,3,0,0,3,4,0,1,3,4,0,1,3,4,0,1,2,5,0,1,1,0,0,1,1,1,1,1,1,1,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,8,8,8,8,8,10,0,0,5,0,0,1,3,3,4,4,3,5,4,1,2,2,4,4,4,4,2,1,1,1,1,1,1,1,0,0,3,1,0,0,0,0,3,1,0,2,4,4,4,3,4,4,1,1,1,1,1,1,3,4,4,3,2,2,3,2,3,3,3,3,3,5,3,2,2,3,4,4,3,4,3,3,3,3,3,2,0,27,3,0,0,1,0,0,1,0,5,0,0,0,0,1,0,1,1,0,0,3,0,1,0,12,0,0,1,2,1,1,0,0,0,9,0,0,1,0
1214,1,1,4,0,0,0,1,0,0,0,1,6,1,7,1,0,7,1,0,7,1,0,2,5,0,1,3,4,0,1,3,4,0,1,3,4,0,1,4,3,0,0,1,0,0,1,1,1,1,1,1,1,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,8,7,10,10,7,10,0,2,1,0,0,0,1,1,3,5,4,5,5,1,1,3,3,3,5,5,1,1,1,1,1,1,1,1,0,2,0,1,0,0,1,0,0,2,1,0,4,1,1,1,1,4,1,1,1,3,3,5,5,5,3,5,3,3,4,3,1,1,1,1,1,1,1,1,3,1,3,3,2,3,5,5,5,5,5,2,0,41,4,0,0,0,1,0,2,1,5,0,0,0,0,1,0,1,1,0,0,79,0,0,0,73,0,0,0,4,1,0,0,0,0,1,1,0,0,0
1215,1,1,5,0,0,0,0,1,0,0,1,6,1,7,1,0,7,1,0,7,1,0,2,5,0,1,6,1,1,0,6,1,1,0,6,1,1,0,6,1,1,0,3,0,1,0,1,1,1,1,1,1,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,7,7,7,7,7,7,0,6,0,0,1,0,1,1,5,5,3,5,5,1,1,1,5,3,5,5,5,1,1,5,1,1,1,1,1,0,0,1,0,0,1,0,0,3,0,0,5,5,5,3,3,3,1,1,3,5,5,1,5,5,3,5,3,3,5,1,1,1,1,1,2,5,1,1,3,1,3,3,1,5,5,5,5,5,4,2,0,28,3,0,0,1,0,0,2,1,3,0,0,1,0,0,0,1,1,0,0,19,0,0,1,28,0,0,1,3,3,0,0,0,1,10,0,0,0,1
1216,1,1,2,0,1,0,0,0,0,0,7,1,0,7,1,0,7,1,0,1,6,1,6,1,1,0,4,3,0,0,4,3,0,0,4,3,0,0,3,4,0,1,1,0,0,1,2,0,1,1,1,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,6,8,8,8,8,8,1,0,5,0,0,1,5,3,2,3,4,4,5,1,4,1,3,4,4,5,4,1,1,4,1,1,1,3,0,0,3,0,2,3,0,2,0,0,2,2,4,4,4,4,4,5,1,1,1,1,1,2,4,5,4,1,1,1,1,5,2,1,4,4,5,4,2,1,2,5,5,5,5,1,4,5,2,2,1,1,1,17,3,0,0,1,0,0,1,0,6,0,0,0,0,0,1,1,1,0,0,6,0,1,0,2,0,1,0,3,3,0,0,0,1,8,0,0,1,0
1219,1,1,4,0,0,0,1,0,0,0,1,6,1,7,1,0,7,1,0,7,1,0,2,5,0,1,3,4,0,1,6,1,1,0,6,1,1,0,3,4,0,1,2,1,0,0,1,1,1,1,1,1,2,0,3,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,6,6,6,6,6,6,6,0,0,1,0,0,3,3,3,3,3,5,5,3,5,5,3,3,5,5,3,3,3,5,3,3,3,3,0,2,0,1,0,0,1,0,0,2,1,0,3,5,5,5,5,5,3,1,1,1,4,4,4,1,4,4,4,2,4,2,1,1,1,1,1,2,2,5,2,2,2,4,2,4,5,5,5,5,5,2,0,38,4,0,0,0,1,0,2,1,2,0,1,0,0,0,0,1,1,0,0,4,0,1,0,12,0,0,1,2,1,1,0,0,0,9,0,0,1,0
1220,1,1,7,0,0,0,0,0,0,1,7,1,0,1,6,1,7,1,0,7,1,0,5,2,1,0,3,4,0,1,3,4,0,1,5,2,1,0,6,1,1,0,1,0,0,1,1,1,1,1,2,0,1,1,5,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,7,7,6,7,7,10,1,4,0,0,1,0,1,1,4,4,2,1,2,3,4,4,4,2,2,4,4,3,3,3,3,3,3,3,1,0,0,1,0,0,1,0,0,3,0,0,4,2,2,2,2,2,3,3,3,3,4,2,4,5,3,4,3,3,4,4,3,2,3,3,3,4,2,1,3,2,3,3,2,2,3,4,3,3,3,2,0,40,4,0,0,0,1,0,1,0,3,0,0,1,0,0,0,1,1,0,0,96,0,0,0,11,0,1,0,3,1,0,1,0,0,7,0,0,1,0
1221,1,1,2,0,1,0,0,0,0,0,1,6,1,7,1,0,7,1,0,7,1,0,2,5,0,1,5,2,1,0,5,2,1,0,5,2,1,0,6,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,7,7,7,7,7,10,0,5,0,0,1,0,1,1,5,5,1,4,5,3,1,5,4,3,3,5,3,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,3,0,0,3,3,3,3,3,3,5,5,3,3,5,2,4,3,3,3,3,3,3,4,2,2,1,1,1,4,2,3,3,3,3,3,3,2,4,4,5,5,5,2,0,43,4,0,0,0,1,0,2,1,5,0,0,0,0,1,0,1,1,0,0,74,0,0,0,75,0,0,0,3,1,0,1,0,0,12,0,0,0,1
1222,1,1,4,0,0,0,1,0,0,0,7,1,0,2,5,1,7,1,0,7,1,0,4,3,0,0,6,1,1,0,6,1,1,0,6,1,1,0,4,3,0,0,1,0,0,1,1,1,1,1,2,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,7,7,6,6,7,10,2,3,0,0,1,0,3,3,5,3,3,4,5,1,2,2,4,4,2,5,5,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,3,0,0,3,2,2,2,2,2,4,3,3,3,3,1,1,1,3,2,3,3,3,3,3,4,3,2,2,5,5,5,3,4,3,3,3,3,3,2,3,4,4,1,1,50,4,0,0,0,1,0,2,1,4,0,0,0,1,0,0,1,1,0,0,5,0,1,0,45,0,0,1,3,1,0,1,0,0,10,0,0,0,1
